id,trialtype,setsize,platform,rt_mean,rt_sd
1,dots,8,ios,1.5846747648715973,0.46385377017726803
1,dots,12,ios,1.8759045600891113,0.6425451120032314
1,dots,16,ios,2.1819413220882415,1.1377920892512001
1,tray,8,ios,1.5566908943653106,0.4529189919275058
1,tray,12,ios,1.767054089307785,0.7393490565961258
1,tray,16,ios,2.120271275043488,1.075708275805242
2,dots,8,ios,1.5461427962779999,0.5603800545211375
2,dots,12,ios,1.5932026064395903,0.6064897224286483
2,dots,16,ios,1.9857309722900391,1.003402270040909
2,tray,8,ios,1.4439065980911254,0.44567874680870806
2,tray,12,ios,1.737266719341278,0.6309781593661996
2,tray,16,ios,2.681965880393982,1.6538803073722654
3,dots,8,ios,1.516622338294983,0.8001602149441064
3,dots,12,ios,1.8093153631687164,0.8200170768476926
3,dots,16,ios,2.030950014591217,0.9161664067573219
3,tray,8,ios,1.4658358359336854,0.6501409173277352
3,tray,12,ios,2.111602258682251,0.9740180636319828
3,tray,16,ios,2.4595096027851104,2.009159657204337
4,dots,8,andr,1.3700233054161073,0.5847967247515554
4,dots,12,andr,1.8313285207748413,1.0800954371788023
4,dots,16,andr,2.2075490510463713,1.695897600653035
4,tray,8,andr,1.313313386440277,0.4926630300701595
4,tray,12,andr,1.6146915781497955,0.7668634518895681
4,tray,16,andr,1.6536543834209443,0.6519362377721342
5,dots,8,ios,1.2123647224903107,0.4409845760735224
5,dots,12,ios,1.3361413848400117,0.4195652458204765
5,dots,16,ios,1.4343846702575684,0.461266543305861
5,tray,8,ios,1.2110471606254578,0.3999522005369594
5,tray,12,ios,1.5103977680206297,0.5573613806774038
5,tray,16,ios,1.7453916776180267,0.6464545264991103
6,dots,8,andr,1.2027612721920014,0.8181776626269732
6,dots,12,andr,1.6138727831840516,1.7083202869933864
6,dots,16,andr,1.355562504529953,0.7408705013653469
6,tray,8,andr,1.1945738673210144,0.4575404918455273
6,tray,12,andr,1.3293473160266875,0.6602124969345318
6,tray,16,andr,1.5622385096549989,0.7217751080315185
7,dots,8,andr,1.8583425641059876,0.5703372877153676
7,dots,12,andr,2.19495111823082,0.9247973162028195
7,dots,16,andr,2.5806997382640837,1.6059488050376998
7,tray,8,andr,1.6715274167060852,0.6256238770251378
7,tray,12,andr,2.3754707300662994,1.2636175737288837
7,tray,16,andr,2.6287796568870543,1.340812075586604
8,dots,8,andr,1.845768439769745,0.7601530413646664
8,dots,12,andr,2.1293508315086367,0.7933207271997115
8,dots,16,andr,2.250169792175293,0.943892440868053
8,tray,8,andr,1.939568088054657,1.0202237906149854
8,tray,12,andr,2.223478636741638,0.7089899569488125
8,tray,16,andr,2.584464201927185,1.0586804062980084
9,dots,8,ios,1.0831700563430786,0.24281395159371447
9,dots,12,ios,1.2284294366836548,0.3585102868467877
9,dots,16,ios,1.3571092069149018,0.5910861477844681
9,tray,8,ios,1.1777983129024505,0.3152406419501441
9,tray,12,ios,1.321628875732422,0.5462886423182289
9,tray,16,ios,1.4143463683128357,0.5691343521449265
10,dots,8,andr,1.0352499902248382,0.3158131850539243
10,dots,12,andr,1.2312318623065948,0.7786659005951436
10,dots,16,andr,1.2009454727172852,0.4794437394190406
10,tray,8,andr,0.9911758506298065,0.3274342311077293
10,tray,12,andr,1.190586384534836,0.40628406629059194
10,tray,16,andr,1.4608860516548157,0.7447201158804224
11,dots,8,andr,1.2022446346282958,0.3803492737024281
11,dots,12,andr,1.3476151740550995,0.5664427967599736
11,dots,16,andr,1.4045217287540435,0.9078788741750587
11,tray,8,andr,1.3032304418087006,0.4540517627154152
11,tray,12,andr,1.496876482963562,0.891319734794759
11,tray,16,andr,1.8532509911060333,1.5715445798777408
12,dots,8,andr,1.2086807298660278,0.4465430769497571
12,dots,12,andr,1.4127359449863435,0.7112926250162251
12,dots,16,andr,1.5193188273906708,0.8951146963650605
12,tray,8,andr,1.2669543039798739,0.7670613872632823
12,tray,12,andr,1.5286688482761384,0.9047876686539361
12,tray,16,andr,1.7677131736278533,1.035470780962238
13,dots,8,ios,1.294392864704132,0.678480229001713
13,dots,12,ios,1.5136532425880431,0.6907682019945325
13,dots,16,ios,1.8460451996326446,1.0393437956463543
13,tray,8,ios,1.272644087076187,0.4296826588331958
13,tray,12,ios,1.5622979259490968,0.658322958308955
13,tray,16,ios,1.929297993183136,0.9779036788327192
14,dots,8,ios,1.4280720853805542,0.4764068200579241
14,dots,12,ios,1.6272332501411437,0.6800343878015371
14,dots,16,ios,1.9429209661483764,1.0773128402850152
14,tray,8,ios,1.393366895914078,0.44746677138048097
14,tray,12,ios,1.744668334722519,0.7820210277443472
14,tray,16,ios,1.9320854711532593,1.241313523432495
15,dots,8,andr,1.4808815789222716,0.6671530429881274
15,dots,12,andr,1.6310501301288605,0.5601695463717137
15,dots,16,andr,1.7170181727409364,0.6882651094491239
15,tray,8,andr,1.4357314443588258,0.5829974424045653
15,tray,12,andr,1.4714198994636536,0.488465493775114
15,tray,16,andr,1.550104457139969,0.6733174681167499
16,dots,8,andr,1.157332217693329,0.48320732409688705
16,dots,12,andr,1.5776926982402801,1.050080442352797
16,dots,16,andr,1.9126945948600769,1.3259134791181348
16,tray,8,andr,1.2486827492713928,0.4684007889806327
16,tray,12,andr,1.3216284096240998,0.4774711666882513
16,tray,16,andr,1.6273442363739015,0.6696937365956669
17,dots,8,ios,1.4498266541957856,0.5709446320940879
17,dots,12,ios,1.6478487968444824,0.5852090164532225
17,dots,16,ios,1.988558943271637,0.8386434541820769
17,tray,8,ios,1.5601761364936828,0.5718317925216465
17,tray,12,ios,1.7805319237709045,0.6232486598141487
17,tray,16,ios,2.278079099655151,1.0859561025278532
18,dots,8,andr,1.417704292535782,0.535798030217996
18,dots,12,andr,1.8194381034374236,0.7536172812887434
18,dots,16,andr,2.3833185636997225,1.5470477275840224
18,tray,8,andr,1.3770156753063203,0.46738676861299994
18,tray,12,andr,1.73101086974144,0.7941599100956664
18,tray,16,andr,1.9472585952281951,1.0330506047690329
19,dots,8,ios,1.2274465465545654,0.3710009972433081
19,dots,12,ios,1.6073195278644563,0.7216651851973658
19,dots,16,ios,1.918633096218109,1.0245660830286922
19,tray,8,ios,1.4610850095748902,0.5090030958774345
19,tray,12,ios,1.7166082310676576,0.6168325547923932
19,tray,16,ios,2.00909784078598,1.0123689265221267
20,dots,8,ios,1.055622091293335,0.2971849682487181
20,dots,12,ios,1.1432481980323792,0.3866591025474099
20,dots,16,ios,1.325011932849884,0.6135213766398068
20,tray,8,ios,1.161574625968933,0.33484584540513834
20,tray,12,ios,1.2828240191936493,0.5002480025539218
20,tray,16,ios,1.396194200515747,0.5761671164706456
